,neighborhood,walk,transit,bike
216,Douglaston,57,54,40
217,Travis - Chelsea,57,45,47
218,Grymes Hill,56,64,36
219,City Island,55,37,46
220,Emerson Hill,55,59,36
221,Rossville,54,44,43
222,Bay Terrace,54,61,52
223,Oakwood,54,61,55
224,Spencer Estates,53,69,45
225,Alley Park,52,56,60
226,Broad Channel,52,65,53
227,Willowbrook,51,52,40
228,Fort Hamilton,50,66,71
229,New Springville,50,58,57
230,Annadale,49,52,42
231,Ocean Breeze,48,57,59
232,Prince's Bay,46,52,53
233,Todt Hill,44,53,28
234,Huguenot,44,49,43
235,Arden Heights,41,45,37
236,Woodrow,40,45,47
237,Sea Gate,39,47,42
238,Bloomfield,39,55,50
239,Lighthouse Hill,38,46,30
240,Charleston,37,43,38
241,Greenridge,35,59,33
242,Randalls-Wards Island,27,68,68
243,Rikers Island,4,36,24
